leftgx,leftgy,rightgx,rightgy,left0x,left0y,leftix,leftiy,right0x,right0y,rightix,rightiy
338,354,643,349,288,314,98.0037,52.8846,593,309,103.715,41.7794
336,353,646,350,286,313,102.513,54.839,596,310,98.6251,39.419
336,353,645,350,286,313,101.982,56.1961,595,310,100.547,40.1742
340,353,646,345,290,313,109.428,44.9922,596,305,114.58,49.5398
339,353,646,345,289,313,110.809,52.8834,596,305,114.026,50.0071
340,353,647,345,290,313,108.206,55.6888,597,305,112.403,49.5755
347,355,656,347,297,315,121.484,59.8405,606,307,122.35,51.1119
349,355,658,348,299,315,121.872,58.9566,608,308,124.976,51.1446
349,356,658,348,299,316,120.739,56.8337,608,308,124.024,49.4797
349,356,658,349,299,316,121.605,57.0635,608,309,124.372,48.125
348,359,648,352,298,319,126.937,58.753,598,312,147.989,50.2398
349,358,656,349,299,318,124.323,63.6397,606,309,132.171,59.5094
349,358,648,352,299,318,123.515,63.8518,598,312,148.368,52.6462
349,359,647,353,299,319,121.714,68.2748,597,313,149.382,57.2351
348,361,654,353,298,321,120.714,70.0643,604,313,131.75,63.9075
348,363,653,357,298,323,120.918,68.6108,603,317,134.396,60.1964
347,363,655,354,297,323,122.971,67.9612,605,314,132.125,66.5403
348,363,655,353,298,323,121.087,70.6935,605,313,130.86,65.7135
349,361,655,356,299,321,117.967,73.2631,605,316,130.78,58.8138
351,361,649,355,301,321,122.053,72.2115,599,315,150.032,63.898
350,361,648,355,300,321,122.485,73.6118,598,315,151.366,62.7093
350,361,649,353,300,321,121.653,69.0198,599,313,149.571,67.1249
349,362,648,354,299,322,123.604,68.8934,598,314,149.453,58.9631
350,361,647,354,300,321,121.755,71.9991,597,314,152.589,64.6376
350,361,646,355,300,321,122.429,71.9326,596,315,155.454,63.144
349,361,645,356,299,321,124.253,71.1898,595,316,155.321,54.2634
348,363,649,356,298,323,119.403,69.6734,599,316,142.084,63.8647
347,365,641,356,297,325,122.759,69.3253,591,316,144.704,19.1735
348,363,641,356,298,323,120.105,69.4341,591,316,157.754,53.3486
347,363,642,355,297,323,121.471,71.9277,592,315,156.335,64.7341
343,364,630,357,293,324,114.844,73.7485,580,317,163.232,68.2281
342,365,641,356,292,325,116.83,71.7227,591,316,141.225,71.2589
343,365,634,357,293,325,114.378,72.3612,584,317,156.549,67.4899
343,365,633,357,293,325,116.22,70.3409,583,317,158.923,68.7409
342,365,631,357,292,325,117.363,72.6636,581,317,162.765,67.9181
342,365,629,358,292,325,115.96,72.1486,579,318,165.267,66.6386
342,364,630,357,292,324,115.639,71.0043,580,317,163.13,67.6113
341,364,631,358,291,324,115.404,71.637,581,318,158.87,65.9573
344,365,627,358,294,325,92.714,62.7978,577,318,150.703,60.8961
336,364,639,355,286,324,107.988,64.9466,589,315,125.566,63.2221
337,364,640,355,287,324,107.003,66.5451,590,315,124.406,63.3998
344,368,644,353,294,328,74.9352,66.7758,594,313,98.1992,74.039
353,370,638,354,303,330,40.5446,62.9815,588,314,93.5093,77.0852
356,373,637,354,306,333,34.294,57.4024,587,314,96.1321,76.3219
354,370,640,354,304,330,39.0602,63.6028,590,314,90.5042,75.168
326,362,634,351,276,322,81.4954,69.5259,584,311,87.1998,70.5561
327,363,635,351,277,323,80.1552,69.1543,585,311,86.2929,74.9633
327,363,635,351,277,323,78.4322,66.2597,585,311,85.6379,70.995
332,365,634,351,282,325,67.501,64.5057,584,311,86.42,69.4725
335,365,636,353,285,325,58.1609,58.264,586,313,77.3957,59.4594
326,361,637,354,276,321,76.6714,64.6219,587,314,75.8438,59.7506
334,362,636,350,284,322,64.3673,58.4731,586,310,81.2524,63.0484
337,363,636,350,287,323,58.4047,55.0879,586,310,82.325,61.0348
337,363,637,351,287,323,58.2495,56.2545,587,311,80.1661,61.4865
336,363,637,352,286,323,58.5493,56.3926,587,312,79.1105,58.5644
339,364,637,352,289,324,53.8285,49.5613,587,312,78.815,53.7376
339,364,634,347,289,324,53.8122,48.1661,584,307,85.0199,64.4161
337,363,634,347,287,323,57.2521,51.8282,584,307,85.0504,64.3491
339,363,637,350,289,323,53.6723,51.2099,587,310,79.4975,57.4094
324,355,640,352,274,315,88.4348,58.6009,590,312,76.3426,45.0688
324,355,640,351,274,315,88.3178,60.6358,590,311,76.1311,47.8942
